league,map,num_games,play_rate
Platinum,African River,12,6%
Platinum,Bypass,7,4%
Platinum,Coast Arena,13,7%
Platinum,Dzimbabwe,14,7%
Platinum,High Tides,21,11%
Platinum,Monocle,14,7%
Platinum,Mudflow,11,6%
Platinum,Northern Crossings,9,5%
Platinum,Quarry,13,7%
Platinum,Reverse Acropolis,11,6%
Platinum,Seychelles,7,4%
Platinum,Slopes,22,11%
Platinum,Stranded,17,9%
Platinum,Tulou,6,3%
Platinum,Valley,17,9%
Gold,African River,17,8%
Gold,Bypass,10,5%
Gold,Coast Arena,17,8%
Gold,Dzimbabwe,10,5%
Gold,Dzong,1,0%
Gold,High Tides,22,10%
Gold,Jungle Swamp,1,0%
Gold,Monocle,10,5%
Gold,Mudflow,15,7%
Gold,Northern Crossings,9,4%
Gold,Pacific Islands,1,0%
Gold,Quarry,15,7%
Gold,Reverse Acropolis,12,6%
Gold,Seychelles,7,3%
Gold,Shoals,1,0%
Gold,Slopes,24,11%
Gold,Stranded,14,7%
Gold,Tulou,8,4%
Gold,Valley,19,9%
Silver,African River,21,10%
Silver,Bypass,15,7%
Silver,Coast Arena,15,7%
Silver,Dzimbabwe,11,5%
Silver,High Tides,28,13%
Silver,Monocle,17,8%
Silver,Mudflow,10,5%
Silver,Northern Crossings,10,5%
Silver,Quarry,7,3%
Silver,Reverse Acropolis,11,5%
Silver,Seychelles,5,2%
Silver,Slopes,21,10%
Silver,Stranded,21,10%
Silver,Tulou,9,4%
Silver,Valley,7,3%
Bronze,Acropolis,58,10%
Bronze,Dzong,49,9%
Bronze,Evacuation,56,10%
Bronze,Fortified Clearing,45,8%
Bronze,Cross,49,9%
Bronze,Jungle Swamp,64,12%
Bronze,Kilimanjaro,51,9%
Bronze,Pacific Islands,37,7%
Bronze,Ravines,31,6%
Bronze,Rocky Forest,61,11%
Bronze,Shoals,54,10%
