league,civilization,wins,losses,winrate,total_games
Platinum,Armenians,1,13,7%,14
Platinum,Aztecs,3,3,50%,6
Platinum,Bengalis,9,4,69%,13
Platinum,Berbers,2,0,100%,2
Platinum,Bohemians,4,4,50%,8
Platinum,Burgundians,9,7,56%,16
Platinum,Burmese,1,1,50%,2
Platinum,Byzantines,3,1,75%,4
Platinum,Celts,2,0,100%,2
Platinum,Chinese,9,0,100%,9
Platinum,Cumans,0,3,0%,3
Platinum,Dravidians,8,10,44%,18
Platinum,Georgians,7,7,50%,14
Platinum,Goths,2,1,67%,3
Platinum,Gurjaras,0,2,0%,2
Platinum,Hindustanis,4,1,80%,5
Platinum,Huns,1,2,33%,3
Platinum,Inca,6,4,60%,10
Platinum,Italians,13,10,57%,23
Platinum,Japanese,10,9,53%,19
Platinum,Jurchens,1,3,25%,4
Platinum,Khitans,1,3,25%,4
Platinum,Khmer,4,3,57%,7
Platinum,Koreans,4,6,40%,10
Platinum,Lithuanians,1,1,50%,2
Platinum,Magyars,1,1,50%,2
Platinum,Malay,9,6,60%,15
Platinum,Malians,5,6,45%,11
Platinum,Mapuche,0,2,0%,2
Platinum,Maya,6,8,43%,14
Platinum,Mongols,2,6,25%,8
Platinum,Muisca,1,2,33%,3
Platinum,Persians,8,5,62%,13
Platinum,Portuguese,4,6,40%,10
Platinum,Romans,6,3,67%,9
Platinum,Shu,1,0,100%,1
Platinum,Sicilians,0,1,0%,1
Platinum,Slavs,1,1,50%,2
Platinum,Spanish,7,4,64%,11
Platinum,Tatars,0,1,0%,1
Platinum,Tupi,2,1,67%,3
Platinum,Turks,4,5,44%,9
Platinum,Vietnamese,8,12,40%,20
Platinum,Vikings,6,4,60%,10
Platinum,Wei,7,10,41%,17
Platinum,Wu,5,6,45%,11
Gold,Armenians,6,12,33%,18
Gold,Aztecs,1,2,33%,3
Gold,Bengalis,8,10,44%,18
Gold,Bohemians,4,3,57%,7
Gold,Britons,0,3,0%,3
Gold,Bulgarians,0,1,0%,1
Gold,Burgundians,7,7,50%,14
Gold,Byzantines,5,8,38%,13
Gold,Celts,2,0,100%,2
Gold,Chinese,6,0,100%,6
Gold,Cumans,3,4,43%,7
Gold,Dravidians,10,8,56%,18
Gold,Ethiopians,2,2,50%,4
Gold,Georgians,11,8,58%,19
Gold,Gurjaras,1,0,100%,1
Gold,Hindustanis,2,6,25%,8
Gold,Huns,1,0,100%,1
Gold,Inca,5,4,56%,9
Gold,Italians,3,8,27%,11
Gold,Japanese,11,10,52%,21
Gold,Jurchens,1,7,13%,8
Gold,Khitans,7,2,78%,9
Gold,Khmer,7,8,47%,15
Gold,Koreans,12,5,71%,17
Gold,Lithuanians,3,2,60%,5
Gold,Magyars,2,0,100%,2
Gold,Malay,12,10,55%,22
Gold,Malians,8,3,73%,11
Gold,Mapuche,0,1,0%,1
Gold,Maya,7,5,58%,12
Gold,Mongols,8,4,67%,12
Gold,Muisca,1,1,50%,2
Gold,Persians,7,6,54%,13
Gold,Poles,1,1,50%,2
Gold,Portuguese,5,7,42%,12
Gold,Romans,7,7,50%,14
Gold,Saracens,0,2,0%,2
Gold,Shu,2,4,33%,6
Gold,Slavs,0,1,0%,1
Gold,Spanish,1,1,50%,2
Gold,Turks,5,3,63%,8
Gold,Vietnamese,10,13,43%,23
Gold,Vikings,3,3,50%,6
Gold,Wei,4,7,36%,11
Gold,Wu,5,7,42%,12
Silver,Armenians,7,9,44%,16
Silver,Aztecs,4,2,67%,6
Silver,Bengalis,5,4,56%,9
Silver,Berbers,1,1,50%,2
Silver,Bohemians,6,4,60%,10
Silver,Britons,2,3,40%,5
Silver,Bulgarians,1,2,33%,3
Silver,Burgundians,12,6,67%,18
Silver,Burmese,1,1,50%,2
Silver,Byzantines,6,6,50%,12
Silver,Celts,2,2,50%,4
Silver,Chinese,5,4,56%,9
Silver,Cumans,2,3,40%,5
Silver,Dravidians,11,12,48%,23
Silver,Ethiopians,0,2,0%,2
Silver,Georgians,10,4,71%,14
Silver,Goths,0,4,0%,4
Silver,Hindustanis,0,2,0%,2
Silver,Huns,2,1,67%,3
Silver,Inca,13,6,68%,19
Silver,Italians,10,7,59%,17
Silver,Japanese,7,10,41%,17
Silver,Jurchens,2,0,100%,2
Silver,Khitans,0,2,0%,2
Silver,Khmer,2,6,25%,8
Silver,Koreans,8,7,53%,15
Silver,Lithuanians,8,6,57%,14
Silver,Magyars,1,0,100%,1
Silver,Malay,8,8,50%,16
Silver,Malians,5,7,42%,12
Silver,Maya,5,5,50%,10
Silver,Mongols,6,3,67%,9
Silver,Muisca,2,0,100%,2
Silver,Persians,6,6,50%,12
Silver,Poles,0,1,0%,1
Silver,Portuguese,5,11,31%,16
Silver,Romans,3,6,33%,9
Silver,Shu,1,2,33%,3
Silver,Sicilians,2,6,25%,8
Silver,Spanish,6,2,75%,8
Silver,Tatars,0,1,0%,1
Silver,Teutons,1,0,100%,1
Silver,Tupi,0,1,0%,1
Silver,Turks,2,1,67%,3
Silver,Vietnamese,5,9,36%,14
Silver,Vikings,2,3,40%,5
Silver,Wei,6,6,50%,12
Silver,Wu,10,9,53%,19
Bronze,Armenians,16,23,41%,39
Bronze,Aztecs,0,3,0%,3
Bronze,Bengalis,14,11,56%,25
Bronze,Berbers,4,1,80%,5
Bronze,Bohemians,6,4,60%,10
Bronze,Britons,1,1,50%,2
Bronze,Bulgarians,0,4,0%,4
Bronze,Burgundians,23,11,68%,34
Bronze,Burmese,1,3,25%,4
Bronze,Byzantines,4,7,36%,11
Bronze,Celts,3,4,43%,7
Bronze,Chinese,17,15,53%,32
Bronze,Cumans,3,6,33%,9
Bronze,Dravidians,17,20,46%,37
Bronze,Ethiopians,1,3,25%,4
Bronze,Georgians,18,25,42%,43
Bronze,Goths,3,7,30%,10
Bronze,Gurjaras,5,8,38%,13
Bronze,Hindustanis,7,11,39%,18
Bronze,Huns,7,4,64%,11
Bronze,Inca,17,6,74%,23
Bronze,Italians,11,20,35%,31
Bronze,Japanese,22,16,58%,38
Bronze,Jurchens,7,10,41%,17
Bronze,Khitans,10,8,56%,18
Bronze,Khmer,14,10,58%,24
Bronze,Koreans,7,7,50%,14
Bronze,Lithuanians,16,15,52%,31
Bronze,Magyars,3,10,23%,13
Bronze,Malay,14,20,41%,34
Bronze,Malians,11,8,58%,19
Bronze,Maya,8,3,73%,11
Bronze,Mongols,10,6,63%,16
Bronze,Persians,15,12,56%,27
Bronze,Poles,2,1,67%,3
Bronze,Portuguese,17,18,49%,35
Bronze,Romans,7,9,44%,16
Bronze,Saracens,2,4,33%,6
Bronze,Shu,11,5,69%,16
Bronze,Sicilians,6,3,67%,9
Bronze,Slavs,1,1,50%,2
Bronze,Spanish,4,2,67%,6
Bronze,Tatars,0,3,0%,3
Bronze,Turks,6,3,67%,9
Bronze,Vietnamese,6,5,55%,11
Bronze,Vikings,4,6,40%,10
Bronze,Wei,13,15,46%,28
Bronze,Wu,11,8,58%,19
